Company_Brand,Sector,Stage,Amount($),HeadQuarter,What_it_does,Year
TheCollegeFever,finance_and_banking,Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018
Happy Cow Dairy,agriculture_and_food,Seed,5840000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018
MyLoanCare,finance_and_banking,Series A,9490000.0,Gurugram,Leading Online Loans Marketplace in India,2018
PayMe India,finance_and_banking,Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018
Eunimart,e_commerce,Seed,3530000.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018
Hasura,technology,Seed,1600000.0,Bangalore,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018
Tripshelf,technology,Seed,2336000.0,Kalkaji,Tripshelf is an online market place for holiday packages.,2018
Hyperdata.IO,marketing_and_advertising,Angel,7300000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018
Freightwalla,technology,Seed,3530000.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018
Microchip Payments,technology,Seed,3530000.0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,2018
BizCrum Infotech Pvt. Ltd.,b2b_services,Seed,3530000.0,Delhi,Building Transactionary B2B Marketplaces,2018
Emojifi,technology,Seed,3530000.0,Bangalore,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018
Flock,technology,Seed,3530000.0,Unknown,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018
Freshboxx,automotive_and_transportation,Seed,3530000.0,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018
Wide Mobility Mechatronics,manufacturing_and_industrial,Seed,3530000.0,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,2018
Pitstop,automotive_and_transportation,Seed,14600000.0,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018
Mihuru,finance_and_banking,Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018
Fyle,finance_and_banking,Seed,1100000.0,Bangalore,Fyle is an intelligent expense management platform for enterprises.,2018
AppWharf,technology,Seed,3530000.0,Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018
Antariksh Waste Ventures Pvt ltd,technology,Seed,73000.0,Chennai,Waste Management for Smart Cities,2018
Cogoport,automotive_and_transportation,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018
PaisaDukan,finance_and_banking,Seed,650000.0,Mumbai,A P2P lending marketplace platform,2018
Sleepy Owl Coffee,automotive_and_transportation,Seed,5110000.0,Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018
BlueJack,automotive_and_transportation,Seed,9344000.0,Delhi,Delhi-based online used vehicles marketplace.,2018
PregBuddy,technology,Seed,3530000.0,Bangalore,PregBuddy is a smart connected care platform for expecting mothers.,2018
AgNext Technologies,agriculture_and_food,Series A,3530000.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018
Pando,technology,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018
Mintifi,finance_and_banking,Seed,2000000.0,Mumbai,Online lending startup based in Mumbai.,2018
Carcrew,automotive_and_transportation,Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,2018
NicheAI,technology,Angel,3530000.0,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018
Chariot Tech,technology,Seed,2920000.0,Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018
Ideal Insurance Brokers/ 121Policy.com,finance_and_banking,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018
